,molecule_chembl_id,canonical_smiles,pchembl_value_mean,pchembl_value_std,inchi
45,640,CCCC1CC2CN(c3nc(OCC4CCCN4C)nc4c3CCN(c3cccc5cccc(Cl)c35)C4)CC1N2,6.77451,0.468351,"InChI=1S/C32H41ClN6O/c1-3-7-22-16-23-17-39(18-27(22)34-23)31-25-13-15-38(29-12-5-9-21-8-4-11-26(33)30(21)29)19-28(25)35-32(36-31)40-20-24-10-6-14-37(24)2/h4-5,8-9,11-12,22-24,27,34H,3,6-7,10,13-20H2,1-2H3"
46,81,Oc1cc(-c2ncc3c(N4CC5CCC(C4)N5)nc(OCCC(F)(F)F)nc3c2F)c2ccccc2c1,6.815593,0.0,"InChI=1S/C26H23F4N5O2/c27-21-22(19-10-17(36)9-14-3-1-2-4-18(14)19)31-11-20-23(21)33-25(37-8-7-26(28,29)30)34-24(20)35-12-15-5-6-16(13-35)32-15/h1-4,9-11,15-16,32,36H,5-8,12-13H2"
47,299,CC(C)c1c(F)cccc1-c1ncc2c(N3CC4CCC(C3)N4)nc(OCC34CCCN3CCC4)nc2c1F,6.880414,0.0,"InChI=1S/C30H36F2N6O/c1-18(2)24-21(6-3-7-23(24)31)26-25(32)27-22(14-33-26)28(37-15-19-8-9-20(16-37)34-19)36-29(35-27)39-17-30-10-4-12-38(30)13-5-11-30/h3,6-7,14,18-20,34H,4-5,8-13,15-17H2,1-2H3"
48,229,Fc1c(-c2ccccc2OC(F)(F)F)ncc2c(N3CC4CCC(C3)N4)nc(OCC34CCCN3CCC4)nc12,6.917214,0.0,"InChI=1S/C28H30F4N6O2/c29-22-23(19-5-1-2-6-21(19)40-28(30,31)32)33-13-20-24(22)35-26(39-16-27-9-3-11-38(27)12-4-10-27)36-25(20)37-14-17-7-8-18(15-37)34-17/h1-2,5-6,13,17-18,34H,3-4,7-12,14-16H2"
49,296,CN(C)c1ccccc1-c1ncc2c(N3CC4CCC(C3)N4)nc(OCC34CCCN3CCC4)nc2c1F,6.952725,0.0,"InChI=1S/C29H36FN7O/c1-35(2)23-8-4-3-7-21(23)25-24(30)26-22(15-31-25)27(36-16-19-9-10-20(17-36)32-19)34-28(33-26)38-18-29-11-5-13-37(29)14-6-12-29/h3-4,7-8,15,19-20,32H,5-6,9-14,16-18H2,1-2H3"
50,93,Fc1c(-c2cccc3cccc(Cl)c23)ncc2c(N3CC4CCC(C3)N4)nc(OCC34CCCN3CC(F)(F)C4)nc12,6.980468,0.0,"InChI=1S/C31H30ClF3N6O/c32-23-7-2-5-18-4-1-6-21(24(18)23)26-25(33)27-22(12-36-26)28(40-13-19-8-9-20(14-40)37-19)39-29(38-27)42-17-30-10-3-11-41(30)16-31(34,35)15-30/h1-2,4-7,12,19-20,37H,3,8-11,13-17H2"
51,102,Oc1cc(-c2ncc3c(N4CC5CCC(C4)N5)nc(OCCc4ccc(F)cn4)nc3c2F)c2ccccc2c1,7.018634,0.0,"InChI=1S/C30H26F2N6O2/c31-18-5-6-19(33-13-18)9-10-40-30-36-28-25(29(37-30)38-15-20-7-8-21(16-38)35-20)14-34-27(26(28)32)24-12-22(39)11-17-3-1-2-4-23(17)24/h1-6,11-14,20-21,35,39H,7-10,15-16H2"
52,595,COC1CC2CN(c3nc(OCC45CCCN4CC(F)C5)nc4c3CCN(c3cccc5cccc(Cl)c35)C4)CC1N2,7.045275,0.0,"InChI=1S/C32H38ClFN6O2/c1-41-28-13-22-16-39(18-26(28)35-22)30-23-9-12-38(27-8-3-6-20-5-2-7-24(33)29(20)27)17-25(23)36-31(37-30)42-19-32-10-4-11-40(32)15-21(34)14-32/h2-3,5-8,21-22,26,28,35H,4,9-19H2,1H3"
53,241,NCC#Cc1cccc2cccc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OCC56CCCN5CCC6)nc4c3F)c12,7.101275,0.0,"InChI=1S/C34H36FN7O/c35-29-30(26-10-2-8-22-6-1-7-23(28(22)26)9-3-15-36)37-18-27-31(29)39-33(43-21-34-13-4-16-42(34)17-5-14-34)40-32(27)41-19-24-11-12-25(20-41)38-24/h1-2,6-8,10,18,24-25,38H,4-5,11-17,19-21,36H2"
54,180,Fc1c(-c2cccc3cccc(-c4cnn[nH]4)c23)ncc2c(N3CC4CCC(C3)N4)nc(OCC34CCCN3CCC4)nc12,7.118615,0.0,"InChI=1S/C33H34FN9O/c34-28-29(24-8-2-6-20-5-1-7-23(27(20)24)26-16-36-41-40-26)35-15-25-30(28)38-32(44-19-33-11-3-13-43(33)14-4-12-33)39-31(25)42-17-21-9-10-22(18-42)37-21/h1-2,5-8,15-16,21-22,37H,3-4,9-14,17-19H2,(H,36,40,41)"
