	id	canonical_smiles	pIC50_mean	pIC50_std
136	152	OC1CC2CN(c3nc(N4CCC4)nc4c(F)c(-c5cccc6cccc(Cl)c56)ncc34)CC1N2	5.5772295	0
388	415	Fc1c(-c2cnccc2C(F)(F)F)ncc2c(N3CC4CCC(C3)N4)nc(OCC34CCCN3CC(F)C4)nc12	5.5886664	0
293	315	OCCc1ccccc1-c1ncc2c(N3CC4CCC(C3)N4)nc(OCC34CCCN3CCC4)nc2c1F	5.595611	0
367	394	CC(C)c1cccc(C(C)C)c1-c1ncc2c(N3CC4CCC(C3)N4)nc(OCC34CCCN3CC(F)C4)nc2c1F	5.60206	0
595	647	FC1(F)CCc2c(N3CCc4c(nc(OCC56CCCN5CCC6)nc4N4CC5CCC(C4)N5)C3)cccc21	5.6046386	0
49	58	OCCC(CO)Oc1nc(N2CC3CCC(C2)N3)c2cnc(-c3cccc4cccc(Cl)c34)c(F)c2n1	5.63326	0
130	146	Cn1cc(CCOc2nc(N3CC4CCC(C3)N4)c3cnc(-c4cccc5cccc(Cl)c45)c(F)c3n2)cn1	5.6409807	0
241	262	NC1(COc2nc(N3CC4CCC(C3)N4)c3cnc(-c4cccc5cccc(Cl)c45)c(F)c3n2)CCCCC1	5.646738	0
382	409	N#Cc1ccccc1-c1ncc2c(N3CC4CCC(C3)N4)nc(OCC34CCCN3CC(F)C4)nc2c1F	5.6514225	0
84	96	Oc1cc(-c2ncc3c(N4CC5CCC(C4)N5)nc(OCCc4ccccc4)nc3c2F)c2ccccc2c1	5.6534514	0
24	32	OC1CC2CN(c3nc(OCCc4ccc(F)cn4)nc4c(F)c(-c5cccc6cccc(Cl)c56)ncc34)CC1N2	5.668573	0
95	107	CN(C)CCOc1nc(N2CC3CCC(C2)N3)c2cnc(-c3cccc4cccc(Cl)c34)c(F)c2n1	5.6740537	0
166	184	CN(C)c1nc(N2CC3CCC(C2)N3)c2cnc(-c3cc(O)cc4ccccc34)c(F)c2n1	5.701016	0
134	150	Fc1c(-c2cccc3cccc(Cl)c23)ncc2c(N3CC4CCC(C3)N4)nc(OCc3cccn4ccnc34)nc12	5.7030935	0
88	100	Cc1cccc2cccc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OCCc5nccn5C)nc4c3F)c12	5.710032	0
389	416	CC(C)Oc1ccccc1-c1ncc2c(N3CC4CCC(C3)N4)nc(OCC34CCCN3CC(F)C4)nc2c1F	5.710746	0
170	188	C#Cc1cccc2cccc(-c3ncc4c(N5CC6CCC(C5)N6)ncnc4c3F)c12	5.716767	0
44	53	Fc1c(-c2cccc3cccc(Cl)c23)ncc2c(N3CC4CCC(C3)N4)nc(OCC3COC3)nc12	5.7255187	0
6	7	Oc1cc(-c2ncc3c(N4CC5CCC(C4)N5)nc(OCCc4ncccn4)nc3c2F)c2ccccc2c1	5.728786	0
190	208	CN1CC(Oc2cccc(S(=O)(=O)F)c2)CC1COc1nc(N2CC3CCC(C2)N3)c2cnc(-c3cccc4cccc(Cl)c34)c(F)c2n1	5.735962	0
331	358	CN1CCC(Oc2nc(N3CC4CCC(C3)N4)c3cnc(-c4cccc5cccc(Cl)c45)c(F)c3n2)C1	5.744564	0.05849308
558	594	CN1CCCC1COc1nc2c(c(N3CC4CCC(CC#N)(C3)N4)n1)CCN(c1cccc3cccc(Cl)c13)C2	5.744969	0
578	622	CN1CCCC1COc1nc2c(c(N3CC4CCC(C3)N4)n1)CCN(c1cccc3c1CCCC3)C2	5.74958	0
537	568	CN1CCCC1COc1nc2c(c(N3CC4CCC(C3)N4)n1)CCN(c1cccc3c(F)cccc13)C2	5.7537723	0
128	144	Cn1nccc1CCOc1nc(N2CC3CCC(C2)N3)c2cnc(-c3cccc4cccc(Cl)c34)c(F)c2n1	5.768964	0
